Type,Name,Request Count,Failure Count,Median Response Time,Average Response Time,Min Response Time,Max Response Time,Average Content Size,Requests/s,Failures/s,50%,66%,75%,80%,90%,95%,98%,99%,99.9%,99.99%,100%
GET,/api/recommendations/user_024ac876797443fea29faab12d3aebc7,42,0,4,9.937654764923666,2.066000015474856,188.1874999962747,2.0,0.14072469553494885,0.0,4,5,7,8,10,17,190,190,190,190,190
GET,/api/recommendations/user_02dcdd347e6d447b827504601ef3d352,53,0,4,6.794269816106501,2.2010999964550138,89.92179995402694,2.0,0.17758116341314975,0.0,4,5,5,6,8,21,23,90,90,90,90
GET,/api/recommendations/user_044a8a20a87148db8bcc8a0f1a4791b7,46,0,3,4.335630424421929,1.9611999159678817,21.54880005400628,2.0,0.15412704749065828,0.0,4,4,5,5,8,8,22,22,22,22,22
GET,/api/recommendations/user_0551f369b14c4c09803b2d0906f96fea,54,0,4,8.26770740699161,2.067199908196926,189.79309999849647,2.0,0.1809317514020771,0.0,4,4,5,5,10,19,23,190,190,190,190
GET,/api/recommendations/user_0616c265c0db4031ba0efbbf615e1fe5,43,0,4,7.883795355663223,1.9579000072553754,113.20060002617538,2.0,0.14407528352387622,0.0,4,4,4,5,6,9,110,110,110,110,110
GET,/api/recommendations/user_07955dc40bc84d4db91974548f346f6b,53,0,4,5.962860377347273,1.851600012741983,41.848900029435754,2.0,0.17758116341314975,0.0,4,5,6,6,14,18,20,42,42,42,42
GET,/api/recommendations/user_07a6f3ac955f43ce83c08a4494865dba,47,0,4,6.867361718174466,1.8793001072481275,58.65619995165616,2.0,0.15747763547958563,0.0,4,5,5,6,8,39,59,59,59,59,59
GET,/api/recommendations/user_0821ea47324d4654bc58b7e09cf0041e,27,0,4,5.519003715124671,2.0294999703764915,20.705899922177196,2.0,0.09046587570103855,0.0,4,5,6,6,11,12,21,21,21,21,21
GET,/api/recommendations/user_08e705a247dc4589b614e7fc8ff0a017,59,0,4,5.221313558187399,2.033500000834465,57.827900047414005,2.0,0.19768469134671388,0.0,4,4,5,6,8,11,12,58,58,58,58
GET,/api/recommendations/user_0978ac4e3e3142c2bd1452e9e44bb02c,48,0,3,5.845897918334231,1.7379999626427889,76.21710002422333,2.0,0.16082822346851297,0.0,4,4,5,6,7,9,76,76,76,76,76
GET,/api/recommendations/user_0de5f265337942998643be63eebc48da,47,0,3,8.039246813612099,1.788599998690188,98.95999997388572,2.0,0.15747763547958563,0.0,3,4,4,5,8,16,99,99,99,99,99
GET,/api/recommendations/user_0e22f049bb484629ab33f86d4cfc86d5,46,0,3,4.500706525742197,1.7766000237315893,19.837499945424497,2.0,0.15412704749065828,0.0,4,5,5,6,7,11,20,20,20,20,20
GET,/api/recommendations/user_0f9dd09bb3404eb1a64a32a1d9d06979,44,0,4,6.514163650783964,2.0558000542223454,44.324199901893735,2.0,0.14742587151280356,0.0,4,6,6,7,9,19,44,44,44,44,44
GET,/api/recommendations/user_127e2ce0575841aa98fdffdc564beebc,47,0,3,5.698670197198999,1.9576000049710274,101.53349989559501,2.0,0.15747763547958563,0.0,3,4,5,5,6,7,100,100,100,100,100
GET,/api/recommendations/user_13d914ccc4e848b6953d68493300f856,43,0,3,6.346851175780906,1.8800999969244003,77.8398000402376,2.0,0.14407528352387622,0.0,3,4,6,7,8,10,78,78,78,78,78
GET,/api/recommendations/user_13fc30d1e4e14b02a27c52ff20141456,65,0,3,6.8122292295671425,1.9239999819546938,179.67420001514256,2.0,0.217788219280278,0.0,3,4,5,5,6,10,16,180,180,180,180
GET,/api/recommendations/user_146c215057404b2ea78ff5c60e053b45,46,0,4,6.034189136698842,2.046799985691905,49.84880005940795,2.0,0.15412704749065828,0.0,4,5,6,6,10,14,50,50,50,50,50
GET,/api/recommendations/user_14fcdb22222242aaa45df10f11488476,41,0,3,7.660470732555884,2.1588000236079097,82.59410003665835,2.0,0.1373741075460215,0.0,3,5,5,6,8,12,83,83,83,83,83
GET,/api/recommendations/user_15785ea064b74be48190fcfa46c8d8fb,51,0,4,9.647176480012051,1.8257000483572483,184.59570000413805,2.0,0.17087998743529503,0.0,4,4,5,6,8,12,100,180,180,180,180
GET,/api/recommendations/user_1894625d0e344b7793469e41cee41eba,37,0,4,4.221837844926159,1.8217000178992748,9.262799983844161,2.0,0.1239717555903121,0.0,4,4,5,5,7,8,9,9,9,9,9
GET,/api/recommendations/user_1bc6578cb8d6438d8b00c582bfedbaf2,53,0,3,6.848728306204924,1.984999980777502,65.23259996902198,2.0,0.17758116341314975,0.0,3,4,5,5,8,55,58,65,65,65,65
GET,/api/recommendations/user_1d5be0baebc746f2bf89b61792c44531,45,0,4,4.023417770966059,1.832399982959032,19.674999988637865,2.0,0.1507764595017309,0.0,4,4,4,5,6,6,20,20,20,20,20
GET,/api/recommendations/user_1d674263ecd84ea49359849492a3828f,45,0,3,3.7718555501972637,1.749300048686564,8.847100078128278,2.0,0.1507764595017309,0.0,3,4,5,5,6,7,9,9,9,9,9
GET,/api/recommendations/user_1e91513917444a5999799ade64785841,43,0,4,6.335425569654205,1.9475000444799662,82.96409994363785,2.0,0.14407528352387622,0.0,4,5,5,6,7,8,83,83,83,83,83
GET,/api/recommendations/user_1fcd5dade8db49b0a566c90c6dcb8b44,41,0,4,5.101431712008467,2.016899990849197,22.5499999942258,2.0,0.1373741075460215,0.0,4,5,5,6,7,10,23,23,23,23,23
GET,/api/recommendations/user_2011df9a716e49fda401b4f2b73171fb,56,0,4,5.716442856022955,1.9733000081032515,56.84640002436936,2.0,0.1876329273799318,0.0,4,5,6,6,6,21,28,57,57,57,57
